,Year,Month,Type,From,To,Date,Player,Position,Transaction
5,2000,3,signings,Cardinals  Cardinals,Redskins  Redskins,03/30,Adrian Murrell,,Unrestricted Free Agent Signing
6,2000,3,signings,Lions  Lions,Lions  Lions,03/29,Paul Janus,,Exclusive Rights Signing
7,2000,3,signings,Steelers  Steelers,Eagles  Eagles,03/29,Carlos Emmons,,Unrestricted Free Agent Signing
8,2000,3,signings,Steelers  Steelers,Steelers  Steelers,03/29,Bobby Shaw,,Exclusive Rights Signing
9,2000,3,signings,Cardinals  Cardinals,Cardinals  Cardinals,03/28,Mark Maddox,,Unrestricted Free Agent Signing
10,2000,3,signings,--,Panthers  Panthers,03/28,Larry Ryans,,Free Agent Signing
11,2000,3,signings,--,Panthers  Panthers,03/28,Lee Woodall,,Free Agent Signing
12,2000,3,signings,Saints  Saints,Saints  Saints,03/28,P.J. Franklin,,Exclusive Rights Signing
13,2000,3,signings,Saints  Saints,Saints  Saints,03/28,Marvin Powell,,Exclusive Rights Signing
14,2000,3,signings,Chiefs  Chiefs,Giants  Giants,03/27,Glenn Parker,,Unrestricted Free Agent Signing
15,2000,3,signings,Buccaneers  Buccaneers,Buccaneers  Buccaneers,03/27,Mark Royals,,Unrestricted Free Agent Signing
16,2000,3,signings,Raiders  Raiders,Raiders  Raiders,03/27,Terry Mickens,,Unrestricted Free Agent Signing
17,2000,3,signings,--,Ravens  Ravens,03/24,Dennis Stallings,,Free Agent Signing
18,2000,3,signings,Cowboys  Cowboys,Cowboys  Cowboys,03/24,Jason Kaiser,,Exclusive Rights Signing
19,2000,3,signings,--,Dolphins  Dolphins,03/24,Willie Jones,,Free Agent Signing
20,2000,3,signings,Cardinals  Cardinals,Cardinals  Cardinals,03/23,Angel Rubio,,Exclusive Rights Signing
21,2000,3,signings,--,Falcons  Falcons,03/23,Anthony Redmon,,Free Agent Signing
22,2000,3,signings,--,Dolphins  Dolphins,03/23,Twan Russell,,Free Agent Signing
23,2000,3,signings,Browns  Browns,Browns  Browns,03/23,Roger Chanoine,,Exclusive Rights Signing
24,2000,3,signings,Patriots  Patriots,Patriots  Patriots,03/23,Tedy Bruschi,,Unrestricted Free Agent Signing
0,2000,4,signings,--,Panthers  Panthers,04/28,Scottie Montgomery,,Free Agent Signing
1,2000,4,signings,--,49ers  49ers,04/28,Marcus Hill,,Free Agent Signing
2,2000,4,signings,--,Lions  Lions,04/28,James Hall,,Free Agent Signing
3,2000,4,signings,--,Lions  Lions,04/28,Leroy Hodge,,Free Agent Signing
4,2000,4,signings,--,Eagles  Eagles,04/28,Will Brice,,Free Agent Signing
5,2000,4,signings,--,Raiders  Raiders,04/28,Brandon Jennings,,Free Agent Signing
6,2000,4,signings,Giants  Giants,Giants  Giants,04/28,O.J. Childress,,Exclusive Rights Signing
7,2000,4,signings,Giants  Giants,Giants  Giants,04/28,Bashir Levingston,,Exclusive Rights Signing
8,2000,4,signings,Dolphins  Dolphins,Dolphins  Dolphins,04/28,Ed Perry,,Asked to Re-Sign
9,2000,4,signings,Dolphins  Dolphins,Dolphins  Dolphins,04/28,Nate Jacquet,,Asked to Re-Sign
10,2000,4,signings,--,Colts  Colts,04/28,John Merandi,,Free Agent Signing
11,2000,4,signings,--,Redskins  Redskins,04/28,Ryan Kalich,,Free Agent Signing
12,2000,4,signings,--,Dolphins  Dolphins,04/28,Rameel Connor,,Free Agent Signing
13,2000,4,signings,--,Packers  Packers,04/28,Russell Maryland,,Free Agent Signing
14,2000,4,signings,Cowboys  Cowboys,Cowboys  Cowboys,04/28,Dexter Coakley,,Asked to Re-Sign
15,2000,4,signings,--,Cowboys  Cowboys,04/28,Corey Atkins,,Free Agent Signing
16,2000,4,signings,--,Cowboys  Cowboys,04/28,Chrys Chukwuma,,Free Agent Signing
17,2000,4,signings,--,Cowboys  Cowboys,04/28,Jon Hilbert,,Free Agent Signing
18,2000,4,signings,--,Cowboys  Cowboys,04/28,Damon Hodge,,Free Agent Signing
19,2000,4,signings,--,Cowboys  Cowboys,04/28,Al Jackson,,Free Agent Signing
20,2000,4,signings,--,Cowboys  Cowboys,04/28,Sean Key,,Free Agent Signing
21,2000,4,signings,--,Cowboys  Cowboys,04/28,Rian Lindell,,Free Agent Signing
22,2000,4,signings,--,Cowboys  Cowboys,04/28,Cedric Oglesby,,Free Agent Signing
23,2000,4,signings,--,Cowboys  Cowboys,04/28,Otis Pitts,,Free Agent Signing
24,2000,4,signings,--,Cowboys  Cowboys,04/28,Bryant Shaw,,Free Agent Signing
0,2000,5,signings,Falcons  Falcons,Falcons  Falcons,05/31,Henri Crockett,,Asked to Re-Sign
1,2000,5,signings,--,Patriots  Patriots,05/31,Tony Gaiter,,Free Agent Signing
2,2000,5,signings,Rams  Rams,Rams  Rams,05/31,Taje Allen,,Asked to Re-Sign
3,2000,5,signings,Redskins  Redskins,Redskins  Redskins,05/31,Brett Conway,,Asked to Re-Sign
4,2000,5,signings,--,Raiders  Raiders,05/31,Troy Drayton,,Free Agent Signing
5,2000,5,signings,--,Steelers  Steelers,05/31,Brent Alexander,,Free Agent Signing
6,2000,5,signings,Browns  Browns,Browns  Browns,05/31,Earl Little,,Exclusive Rights Signing
7,2000,5,signings,Titans  Titans,Titans  Titans,05/31,Derrick Mason,,Asked to Re-Sign
8,2000,5,signings,Buccaneers  Buccaneers,Vikings  Vikings,05/31,John Davis,,Unrestricted Free Agent Signing
9,2000,5,signings,Dolphins  Dolphins,Dolphins  Dolphins,05/30,Autry Denson,,Exclusive Rights Signing
10,2000,5,signings,Chargers  Chargers,Chargers  Chargers,05/30,Raleigh Roundtree,,Asked to Re-Sign
11,2000,5,signings,Buccaneers  Buccaneers,Buccaneers  Buccaneers,05/30,Floyd Young,,Asked to Re-Sign
12,2000,5,signings,Titans  Titans,Titans  Titans,05/30,Terry Killens,,Unrestricted Free Agent Signing
13,2000,5,signings,Raiders  Raiders,Raiders  Raiders,05/30,Chuck Osborne,,Asked to Re-Sign
14,2000,5,signings,--,Cowboys  Cowboys,05/30,Al Jackson,,Free Agent Signing
15,2000,5,signings,Dolphins  Dolphins,Dolphins  Dolphins,05/25,Robert Baker,,Exclusive Rights Signing
16,2000,5,signings,Buccaneers  Buccaneers,Buccaneers  Buccaneers,05/25,Kevin Dogins,,Asked to Re-Sign
17,2000,5,signings,Eagles  Eagles,Broncos  Broncos,05/25,David Diaz-Infante,,Unrestricted Free Agent Signing
18,2000,5,signings,Jets  Jets,Jets  Jets,05/24,Jason Ferguson,,Asked to Re-Sign
19,2000,5,signings,Titans  Titans,Raiders  Raiders,05/24,Doug Colman,,Unrestricted Free Agent Signing
20,2000,5,signings,Jets  Jets,Jets  Jets,05/23,Dwight Stone,,Unrestricted Free Agent Signing
21,2000,5,signings,--,Dolphins  Dolphins,05/23,Mike Quinn,,Free Agent Signing
22,2000,5,signings,Falcons  Falcons,Falcons  Falcons,05/23,Calvin Collins,,Asked to Re-Sign
23,2000,5,signings,Falcons  Falcons,Falcons  Falcons,05/23,O.J. Santiago,,Asked to Re-Sign
24,2000,5,signings,--,Broncos  Broncos,05/23,Ian Beckles,,Free Agent Signing
0,2000,6,signings,--,Buccaneers  Buccaneers,06/30,Don Davis,,Free Agent Signing
1,2000,6,signings,--,Eagles  Eagles,06/30,Anthony Ladd,,Free Agent Signing
2,2000,6,signings,--,Cowboys  Cowboys,06/30,Stephen Fisher,,Free Agent Signing
3,2000,6,signings,--,Cowboys  Cowboys,06/30,Michael Lies,,Free Agent Signing
4,2000,6,signings,--,Chargers  Chargers,06/30,Deon Humphrey,,Free Agent Signing
5,2000,6,signings,--,Falcons  Falcons,06/30,Ron Rivers,,Free Agent Signing
6,2000,6,signings,--,Saints  Saints,06/30,Michael Blair,,Free Agent Signing
7,2000,6,signings,--,Saints  Saints,06/30,Shayne Graham,,Free Agent Signing
8,2000,6,signings,--,Jaguars  Jaguars,06/29,Matt Finkes,,Free Agent Signing
9,2000,6,signings,--,Jaguars  Jaguars,06/29,Damon Gibson,,Free Agent Signing
10,2000,6,signings,--,Patriots  Patriots,06/29,Chad Cascadden,,Free Agent Signing
11,2000,6,signings,--,Falcons  Falcons,06/29,Jon Hesse,,Free Agent Signing
12,2000,6,signings,--,Panthers  Panthers,06/29,Harry Deligianis,,Free Agent Signing
13,2000,6,signings,--,Giants  Giants,06/29,Thabiti Davis,,Free Agent Signing
14,2000,6,signings,--,Chargers  Chargers,06/28,Jonathan Brown,,Free Agent Signing
15,2000,6,signings,Cardinals  Cardinals,Cardinals  Cardinals,06/27,Mark Smith,,Asked to Re-Sign
16,2000,6,signings,--,Colts  Colts,06/27,Jeff Brady,,Free Agent Signing
17,2000,6,signings,--,Steelers  Steelers,06/27,Gabe Northern,,Free Agent Signing
18,2000,6,signings,49ers  49ers,49ers  49ers,06/26,Jeff Posey,,Exclusive Rights Signing
19,2000,6,signings,--,Redskins  Redskins,06/23,Tyronne Drakeford,,Free Agent Signing
20,2000,6,signings,--,Dolphins  Dolphins,06/22,Keno Hills,,Free Agent Signing
21,2000,6,signings,--,Chargers  Chargers,06/21,Kevin Gogan,,Free Agent Signing
22,2000,6,signings,--,Buccaneers  Buccaneers,06/21,Jeff Popovich,,Free Agent Signing
23,2000,6,signings,--,Rams  Rams,06/20,Steve Everitt,,Free Agent Signing
24,2000,6,signings,--,Dolphins  Dolphins,06/19,Leslie Shepherd,,Free Agent Signing
0,2000,7,signings,--,Raiders  Raiders,07/31,Willy Tate,,Free Agent Signing
1,2000,7,signings,--,Titans  Titans,07/31,Ty Howard,,Free Agent Signing
2,2000,7,signings,--,Titans  Titans,07/31,Carl Pickens,,Free Agent Signing
3,2000,7,signings,--,Bills  Bills,07/31,Alex Van Pelt,,Free Agent Signing
4,2000,7,signings,--,Bills  Bills,07/31,Jon Hilbert,,Free Agent Signing
5,2000,7,signings,--,Raiders  Raiders,07/28,Shane Bonham,,Free Agent Signing
6,2000,7,signings,--,Bears  Bears,07/28,Michael Husted,,Free Agent Signing
7,2000,7,signings,--,Broncos  Broncos,07/27,Rod Milstead,,Free Agent Signing
8,2000,7,signings,--,Chargers  Chargers,07/27,Jason Chorak,,Free Agent Signing
9,2000,7,signings,--,Steelers  Steelers,07/27,Greg Huntington,,Free Agent Signing
10,2000,7,signings,--,Vikings  Vikings,07/27,Johnny McWilliams,,Free Agent Signing
11,2000,7,signings,--,Cowboys  Cowboys,07/27,Masafumi Kawaguchi,,Free Agent Signing
12,2000,7,signings,--,Seahawks  Seahawks,07/26,Sean Dawkins,,Free Agent Signing
13,2000,7,signings,--,Jaguars  Jaguars,07/26,Eric Moss,,Free Agent Signing
14,2000,7,signings,--,Titans  Titans,07/26,Donald Sellers,,Free Agent Signing
15,2000,7,signings,--,Giants  Giants,07/26,Ron Janes,,Free Agent Signing
16,2000,7,signings,--,Colts  Colts,07/25,Tremayne Stephens,,Free Agent Signing
17,2000,7,signings,Ravens  Ravens,Ravens  Ravens,07/25,Kyle Richardson,,Exclusive Rights Signing
18,2000,7,signings,--,Giants  Giants,07/25,Jermaine Jones,,Free Agent Signing
19,2000,7,signings,--,Rams  Rams,07/25,Vince Amey,,Free Agent Signing
20,2000,7,signings,--,Rams  Rams,07/25,Matt Beck,,Free Agent Signing
21,2000,7,signings,--,Buccaneers  Buccaneers,07/25,John Waerig,,Free Agent Signing
22,2000,7,signings,--,Panthers  Panthers,07/25,Eric Swann,,Free Agent Signing
23,2000,7,signings,--,Titans  Titans,07/25,Henry Slay,,Free Agent Signing
24,2000,7,signings,--,49ers  49ers,07/24,Daniel Greer,,Free Agent Signing
0,2000,8,signings,--,Panthers  Panthers,08/31,Darryl Daniel,,Practice Squad
1,2000,8,signings,--,Colts  Colts,08/31,Joey Kent,,Free Agent Signing
2,2000,8,signings,--,Eagles  Eagles,08/31,William Hampton,,Practice Squad
3,2000,8,signings,--,Cardinals  Cardinals,08/30,Bryan Gilmore,,Practice Squad
4,2000,8,signings,--,Cardinals  Cardinals,08/30,Sean Keenan,,Practice Squad
5,2000,8,signings,--,Cardinals  Cardinals,08/30,Jason Starkey,,Practice Squad
6,2000,8,signings,--,Cardinals  Cardinals,08/30,Clarence Williams,,Practice Squad
7,2000,8,signings,--,Cardinals  Cardinals,08/30,Jordan Younger,,Practice Squad
8,2000,8,signings,--,Dolphins  Dolphins,08/30,Dan Palmer,,Practice Squad
9,2000,8,signings,--,Dolphins  Dolphins,08/30,Ryan Neufeld,,Practice Squad
10,2000,8,signings,--,Jets  Jets,08/30,Brad Banta,,Free Agent Signing
11,2000,8,signings,--,Jets  Jets,08/30,J.J. Syvrud,,Practice Squad
12,2000,8,signings,--,Jets  Jets,08/30,Marlion Jackson,,Practice Squad
13,2000,8,signings,--,Colts  Colts,08/30,Lennox Gordon,,Practice Squad
14,2000,8,signings,--,Falcons  Falcons,08/30,Jake Arians,,Practice Squad
15,2000,8,signings,--,Falcons  Falcons,08/30,Corey Atkins,,Practice Squad
16,2000,8,signings,--,Falcons  Falcons,08/30,Aaron Fields,,Practice Squad
17,2000,8,signings,--,Falcons  Falcons,08/30,Wes Shivers,,Practice Squad
18,2000,8,signings,--,Falcons  Falcons,08/30,Chris White,,Practice Squad
19,2000,8,signings,--,Cowboys  Cowboys,08/30,James Whalen,,Practice Squad
20,2000,8,signings,--,Bears  Bears,08/30,Brian Edwards,,Practice Squad
21,2000,8,signings,--,Raiders  Raiders,08/30,Lenzie Jackson,,Practice Squad
22,2000,8,signings,--,Raiders  Raiders,08/30,Corey Terry,,Practice Squad
23,2000,8,signings,--,Chargers  Chargers,08/30,Pat Batteaux,,Practice Squad
24,2000,8,signings,--,Patriots  Patriots,08/30,Carl Bradley,,Practice Squad
0,2000,9,signings,--,Panthers  Panthers,09/30,Al Lucas,,Free Agent Signing
1,2000,9,signings,--,Giants  Giants,09/30,Jaret Holmes,,Free Agent Signing
2,2000,9,signings,--,Packers  Packers,09/30,Ryan Wetnight,,Free Agent Signing
3,2000,9,signings,--,Titans  Titans,09/29,Chris Coleman,,Free Agent Signing
4,2000,9,signings,--,Jaguars  Jaguars,09/27,Reggie Nelson,,Practice Squad
5,2000,9,signings,--,Bears  Bears,09/27,Brian Edwards,,Practice Squad
6,2000,9,signings,--,Packers  Packers,09/27,Adam Newman,,Practice Squad
7,2000,9,signings,--,Chargers  Chargers,09/27,Kevin Daft,,Practice Squad
8,2000,9,signings,--,Cowboys  Cowboys,09/27,Quinton Spotwood,,Practice Squad
9,2000,9,signings,--,Steelers  Steelers,09/27,Pepe Pearson,,Practice Squad
10,2000,9,signings,--,49ers  49ers,09/27,Josh Gentry,,Practice Squad
11,2000,9,signings,--,Colts  Colts,09/27,Phil Glover,,Practice Squad
12,2000,9,signings,--,Chiefs  Chiefs,09/27,Tyrone M. Williams,,Free Agent Signing
13,2000,9,signings,--,Chargers  Chargers,09/27,Greg Jackson,,Free Agent Signing
14,2000,9,signings,--,Packers  Packers,09/27,Chuck Osborne,,Free Agent Signing
15,2000,9,signings,--,Seahawks  Seahawks,09/27,Rian Lindell,,Free Agent Signing
16,2000,9,signings,--,Bears  Bears,09/27,Robert Newkirk,,Free Agent Signing
17,2000,9,signings,--,Jaguars  Jaguars,09/27,Aaron Koch,,Free Agent Signing
18,2000,9,signings,--,Jaguars  Jaguars,09/27,Craig Miller,,Free Agent Signing
19,2000,9,signings,--,Colts  Colts,09/26,Lennox Gordon,,Free Agent Signing
20,2000,9,signings,--,Saints  Saints,09/26,Derrick Fletcher,,Practice Squad
21,2000,9,signings,--,Dolphins  Dolphins,09/26,Tommy Hendricks,,Free Agent Signing
22,2000,9,signings,--,Dolphins  Dolphins,09/26,Rod Monroe,,Practice Squad
23,2000,9,signings,--,Vikings  Vikings,09/25,Matt Cercone,,Practice Squad
24,2000,9,signings,--,Packers  Packers,09/23,Raleigh McKenzie,,Free Agent Signing
0,2000,10,signings,--,Colts  Colts,10/31,Clifton Crosby,,Free Agent Signing
1,2000,10,signings,--,Panthers  Panthers,10/31,Jason Gavadza,,Free Agent Signing
2,2000,10,signings,--,Eagles  Eagles,10/31,Uhuru Hamiter,,Free Agent Signing
3,2000,10,signings,--,Raiders  Raiders,10/31,Jabari Jackson,,Practice Squad
4,2000,10,signings,--,Saints  Saints,10/31,Phillip Ward,,Practice Squad
5,2000,10,signings,--,Jaguars  Jaguars,10/31,Jermaine Williams,,Free Agent Signing
6,2000,10,signings,--,Jaguars  Jaguars,10/28,Michael Mason,,Free Agent Signing
7,2000,10,signings,--,Rams  Rams,10/27,Paul Justin,,Free Agent Signing
8,2000,10,signings,--,Broncos  Broncos,10/26,Chase Raynock,,Practice Squad
9,2000,10,signings,--,Colts  Colts,10/26,Chukie Nwokorie,,Practice Squad
10,2000,10,signings,--,Saints  Saints,10/26,Jay Hagood,,Practice Squad
11,2000,10,signings,--,Rams  Rams,10/25,Jason Kyle,,Free Agent Signing
12,2000,10,signings,--,Falcons  Falcons,10/25,Antony Jordan,,Free Agent Signing
13,2000,10,signings,--,Steelers  Steelers,10/25,Pepe Pearson,,Practice Squad
14,2000,10,signings,--,Rams  Rams,10/25,Paul Snellings,,Practice Squad
15,2000,10,signings,--,Ravens  Ravens,10/25,John Hudson,,Free Agent Signing
16,2000,10,signings,--,Bears  Bears,10/25,Mark Hartsell,,Practice Squad
17,2000,10,signings,--,Jets  Jets,10/25,Shannon Myers,,Practice Squad
18,2000,10,signings,--,Browns  Browns,10/25,Chester Burnett,,Practice Squad
19,2000,10,signings,--,Saints  Saints,10/25,Blaine Saipaia,,Practice Squad
20,2000,10,signings,--,Jaguars  Jaguars,10/25,Shadwick Criss,,Practice Squad
21,2000,10,signings,--,Jaguars  Jaguars,10/25,Michael Mason,,Practice Squad
22,2000,10,signings,--,Chiefs  Chiefs,10/25,Noel Scarlett,,Practice Squad
23,2000,10,signings,--,Dolphins  Dolphins,10/25,Michael Hamilton,,Free Agent Signing
24,2000,10,signings,--,Dolphins  Dolphins,10/25,Anthony Cesario,,Free Agent Signing
0,2000,11,signings,--,Chargers  Chargers,11/29,Armon Hatcher,,Practice Squad
1,2000,11,signings,--,Bears  Bears,11/29,Chris Fontenot,,Practice Squad
2,2000,11,signings,--,Chargers  Chargers,11/29,Kevin Daft,,Practice Squad
3,2000,11,signings,--,Jets  Jets,11/29,Steve Brominski,,Practice Squad
4,2000,11,signings,--,Colts  Colts,11/29,Sam Sword,,Free Agent Signing
5,2000,11,signings,--,Rams  Rams,11/29,Jonathan Brown,,Practice Squad
6,2000,11,signings,--,Seahawks  Seahawks,11/29,Paul Miranda,,Free Agent Signing
7,2000,11,signings,--,Packers  Packers,11/29,Tom Schau,,Practice Squad
8,2000,11,signings,--,Bengals  Bengals,11/29,LaVell Boyd,,Free Agent Signing
9,2000,11,signings,--,Bengals  Bengals,11/29,Kirk McMullen,,Practice Squad
10,2000,11,signings,--,Browns  Browns,11/29,Michael Hamilton,,Free Agent Signing
11,2000,11,signings,--,Packers  Packers,11/29,Herbert Goodman,,Free Agent Signing
12,2000,11,signings,--,Jaguars  Jaguars,11/29,Craig Miller,,Practice Squad
13,2000,11,signings,--,Chiefs  Chiefs,11/29,Willie Jones,,Practice Squad
14,2000,11,signings,--,Jaguars  Jaguars,11/29,Edward Thomas,,Free Agent Signing
15,2000,11,signings,--,Chargers  Chargers,11/28,Pat Batteaux,,Practice Squad
16,2000,11,signings,--,Rams  Rams,11/28,Chad Dukes,,Free Agent Signing
17,2000,11,signings,--,Ravens  Ravens,11/28,Chuck Evans,,Free Agent Signing
18,2000,11,signings,--,Eagles  Eagles,11/28,Paul Snellings,,Practice Squad
19,2000,11,signings,--,Dolphins  Dolphins,11/28,Sherrod Gideon,,Practice Squad
20,2000,11,signings,--,Dolphins  Dolphins,11/28,Kevin Williams,,Free Agent Signing
21,2000,11,signings,--,Vikings  Vikings,11/27,Pete Bercich,,Free Agent Signing
22,2000,11,signings,--,49ers  49ers,11/27,Dwight Carter,,Practice Squad
23,2000,11,signings,--,Cowboys  Cowboys,11/27,Clint Stoerner,,Practice Squad
24,2000,11,signings,--,Patriots  Patriots,11/27,Antico Dalton,,Practice Squad
0,2000,12,signings,--,Buccaneers  Buccaneers,12/26,Mawuko Tugbenyoh,,Practice Squad
1,2000,12,signings,--,Broncos  Broncos,12/26,Donnie Young,,Practice Squad
2,2000,12,signings,--,Colts  Colts,12/26,Isaac Jones,,Practice Squad
3,2000,12,signings,--,Chargers  Chargers,12/23,Jason Thomas,,Free Agent Signing
4,2000,12,signings,--,Broncos  Broncos,12/22,Darius Clark,,Free Agent Signing
5,2000,12,signings,--,49ers  49ers,12/22,Jason Moore,,Free Agent Signing
6,2000,12,signings,--,Bears  Bears,12/22,Bobbie Howard,,Free Agent Signing
7,2000,12,signings,--,Colts  Colts,12/22,Chukie Nwokorie,,Free Agent Signing
8,2000,12,signings,--,Buccaneers  Buccaneers,12/22,Randy Palmer,,Practice Squad
9,2000,12,signings,--,Lions  Lions,12/22,Andy Vincent,,Free Agent Signing
10,2000,12,signings,--,Vikings  Vikings,12/21,Don Morgan,,Practice Squad
11,2000,12,signings,--,Chiefs  Chiefs,12/21,Casey Tisdale,,Practice Squad
12,2000,12,signings,--,Vikings  Vikings,12/20,Fernando Smith,,Free Agent Signing
13,2000,12,signings,--,Bears  Bears,12/20,Shonn Bell,,Practice Squad
14,2000,12,signings,--,Dolphins  Dolphins,12/20,Damon Savage,,Free Agent Signing
15,2000,12,signings,--,Panthers  Panthers,12/20,Gillis Wilson,,Free Agent Signing
16,2000,12,signings,--,Patriots  Patriots,12/20,Brad Costello,,Practice Squad
17,2000,12,signings,--,Jaguars  Jaguars,12/20,Dwayne Ledford,,Free Agent Signing
18,2000,12,signings,--,Jaguars  Jaguars,12/20,Mike Horacek,,Practice Squad
19,2000,12,signings,--,Bears  Bears,12/20,Al Wallace,,Free Agent Signing
20,2000,12,signings,--,Steelers  Steelers,12/20,Myron Bell,,Free Agent Signing
21,2000,12,signings,--,Patriots  Patriots,12/20,Jeff Paulk,,Free Agent Signing
22,2000,12,signings,--,Panthers  Panthers,12/19,Michael Hawkes,,Free Agent Signing
23,2000,12,signings,--,Redskins  Redskins,12/19,Delbert Cowsette,,Free Agent Signing
24,2000,12,signings,--,Colts  Colts,12/19,Josh Gentry,,Practice Squad
0,2001,1,signings,--,Cowboys  Cowboys,01/31,Rocky Henry,,Free Agent Signing
1,2001,1,signings,--,Cowboys  Cowboys,01/31,Jermaine Jones,,Free Agent Signing
2,2001,1,signings,--,Cowboys  Cowboys,01/31,Denvis Manns,,Free Agent Signing
3,2001,1,signings,--,Bills  Bills,01/31,Corey Hulsey,,Free Agent Signing
4,2001,1,signings,--,Eagles  Eagles,01/30,Justin Skinner,,Free Agent Signing
5,2001,1,signings,--,Panthers  Panthers,01/30,Dusty Renfro,,Free Agent Signing
6,2001,1,signings,--,Falcons  Falcons,01/30,Chris Hudson,,Free Agent Signing
7,2001,1,signings,--,Patriots  Patriots,01/30,Brad Costello,,Free Agent Signing
8,2001,1,signings,--,Broncos  Broncos,01/30,Lemar Marshall,,Free Agent Signing
