Team,Name,Position,College,Vet
Washington Commanders,Colin Schlee,QB,Virginia Tech,
Washington Commanders,Nathan Peterman,QB,Pittsburgh,
Washington Commanders,Trenton Irvin,WR,Stanford,
Washington Commanders,Dorian Anderson,WR,Southeast Missouri State,
Washington Commanders,Ife Adeyi,WR,Sam Houston,
Washington Commanders,Peyton Buckley,DB,Augustana University,
Washington Commanders,Gabe Taylor,DB,Rice,
Washington Commanders,Kaylin Moore,DB,UCLA,
Washington Commanders,Brandon Turnage,DB,Mississippi,
Washington Commanders,Xavier Robiou,DB,Howard,
Washington Commanders,Keegan Jones,RB,UCLA,
Washington Commanders,Xander Mueller,LB,Northwestern,
Washington Commanders,Maurice Smith,OL,Florida State University,
Washington Commanders,Yoseph Carter,OL,Western Illinois University,
Washington Commanders,Ben Wrather,OL,Northwestern,
Washington Commanders,Tyre Phillips,OL,Mississippi State,
Washington Commanders,Maliq Carr,TE,University of Houston,
Washington Commanders,Jude Wolfe,TE,San Diego State,
Washington Commanders,Ross Blacklock,DL,TCU,
Washington Commanders,Deandre Jules,DL,University of South Carolina,
Washington Commanders,Austin Bryant,DL,Clemson,
Atlanta Falcons,Kam Alexander ,CB ,Oregon,
Atlanta Falcons,Lawrence Arnold ,WR? ,Kansas,
Atlanta Falcons,Juan Davis ,TE ,Texas,
Atlanta Falcons,Ben DiNucci ,QB? ,James Madison,
Atlanta Falcons,Trenton Gill ,P ,N.C. State,
Atlanta Falcons,Michael Gonzalez ,OL ,Louisville,
Atlanta Falcons,Carson Heidecker ,OL ,Ohio,
Atlanta Falcons,Kevin Hester Jr. ,DL? ,North Carolina,
Atlanta Falcons,Caleb Johnson ,LB ,Houston Christian,
Atlanta Falcons,Quinten Johnson ,DB ,Michigan,
Atlanta Falcons,James Jones IV ,CB ,Air Force,
Atlanta Falcons,Christian Matthew ,CB ,Valdosta St.,
Atlanta Falcons,Kamari Morales,TE,Boston College,
Atlanta Falcons,Ozzie Nicholas ,LB ,Duke,
Atlanta Falcons,Hunter Rogers ,LS ,South Carolina,
Atlanta Falcons,Kristian Story ,DB ,Kentucky,
Atlanta Falcons,Marlon Taylor ,DL ,UT Chattanooga,
Atlanta Falcons,Deven Thompkins ,WR ,Utah St.,
Atlanta Falcons,KJ Wallace ,DB ,UCLA,
Atlanta Falcons,Zak Wallace ,RB? ,Arkansas St.,
Atlanta Falcons,Ajani Williams ,WR? ,Morehouse,
